               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02637,            0.011911,           0.0033474,             0.93484,             0.94153,             0.95929,             0.63992,            0.024966,            0.014003,           0.0028707,            0.006535,            0.006535,            0.006535
                  37,            0.026416,            0.012204,           0.0033532,             0.93668,             0.94086,             0.96556,             0.64403,            0.024677,            0.013891,            0.002909,            0.006436,            0.006436,            0.006436
                  38,             0.02643,            0.011895,           0.0034359,              0.9414,             0.94046,             0.96121,             0.63849,            0.024599,            0.014048,           0.0032613,            0.006337,            0.006337,            0.006337
                  39,             0.02581,            0.011878,           0.0034291,             0.93397,             0.94645,             0.96327,             0.64811,             0.02451,            0.013845,           0.0032367,            0.006238,            0.006238,            0.006238
                  40,            0.026226,            0.011744,           0.0036324,             0.94341,             0.91992,             0.95804,             0.63449,            0.025067,            0.014181,           0.0032675,            0.006139,            0.006139,            0.006139
                  41,            0.025935,            0.011786,           0.0034742,             0.94146,             0.94681,             0.96234,             0.64577,            0.024604,            0.013884,           0.0033019,             0.00604,             0.00604,             0.00604
                  42,            0.025758,            0.011752,           0.0033778,             0.93226,             0.94095,             0.95929,             0.64586,            0.024476,            0.013793,           0.0032969,            0.005941,            0.005941,            0.005941
                  43,            0.025376,            0.011592,            0.003404,              0.9509,             0.92937,             0.95648,             0.63818,            0.024773,            0.014019,           0.0031185,            0.005842,            0.005842,            0.005842
                  44,            0.025063,            0.011485,           0.0032643,             0.93986,              0.9486,               0.965,             0.64532,            0.024592,            0.013929,           0.0029509,            0.005743,            0.005743,            0.005743
                  45,            0.025076,             0.01154,            0.003249,             0.92851,              0.9515,             0.95795,             0.64658,            0.024614,            0.013929,           0.0032774,            0.005644,            0.005644,            0.005644
                  46,            0.024978,            0.011616,           0.0031072,             0.94077,             0.94367,             0.95925,             0.64728,            0.024505,            0.013883,           0.0032752,            0.005545,            0.005545,            0.005545
