               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030247,            0.013107,           0.0039651,             0.94378,             0.92542,             0.95173,              0.5943,            0.027994,            0.014931,           0.0031002,            0.006535,            0.006535,            0.006535
                  37,            0.029739,               0.013,           0.0039532,             0.92509,             0.93135,             0.95197,             0.60487,            0.027086,            0.014809,           0.0031926,            0.006436,            0.006436,            0.006436
                  38,            0.029752,            0.012661,           0.0039521,             0.93808,             0.93642,             0.96351,             0.60497,            0.027375,            0.014923,           0.0032559,            0.006337,            0.006337,            0.006337
                  39,            0.029395,            0.013098,           0.0041833,             0.92852,               0.922,             0.95324,              0.6124,            0.027266,            0.015128,           0.0032624,            0.006238,            0.006238,            0.006238
                  40,            0.028993,            0.012677,           0.0038856,             0.93289,             0.93177,             0.95561,             0.61508,            0.026435,            0.014912,           0.0032097,            0.006139,            0.006139,            0.006139
                  41,            0.029148,            0.012398,           0.0038143,             0.94046,             0.93331,             0.95645,             0.62137,            0.026196,            0.015294,           0.0030046,             0.00604,             0.00604,             0.00604
                  42,            0.028417,             0.01296,           0.0039224,             0.93676,             0.93677,             0.95628,             0.61782,            0.026515,            0.014909,           0.0031381,            0.005941,            0.005941,            0.005941
                  43,            0.028705,            0.012914,           0.0042067,             0.93417,              0.9382,             0.95665,             0.61551,             0.02628,            0.014721,           0.0030171,            0.005842,            0.005842,            0.005842
                  44,             0.02892,            0.012788,           0.0038913,             0.93701,             0.93296,             0.95499,             0.61049,            0.026223,            0.014802,           0.0030578,            0.005743,            0.005743,            0.005743
                  45,            0.028483,            0.012318,           0.0036257,               0.945,              0.9226,             0.95406,               0.621,            0.026335,             0.01482,            0.002898,            0.005644,            0.005644,            0.005644
                  46,            0.027978,             0.01278,           0.0038826,             0.94406,             0.92881,             0.95361,             0.62207,            0.025785,             0.01476,           0.0029843,            0.005545,            0.005545,            0.005545
                  47,            0.027703,            0.012401,           0.0037652,             0.93798,             0.94119,             0.95921,             0.62439,            0.025977,            0.014406,           0.0029692,            0.005446,            0.005446,            0.005446
                  48,            0.027244,            0.012576,           0.0035379,             0.93849,             0.93245,             0.95531,             0.62713,            0.025766,            0.014511,            0.003039,            0.005347,            0.005347,            0.005347
                  49,            0.027814,            0.012212,           0.0036792,             0.93069,             0.93276,             0.94567,             0.61933,            0.026166,            0.014852,           0.0030294,            0.005248,            0.005248,            0.005248
                  50,            0.027184,            0.012273,            0.003748,              0.9361,             0.92623,             0.94874,             0.62576,            0.025714,             0.01464,           0.0031622,            0.005149,            0.005149,            0.005149
                  51,            0.027566,            0.012576,           0.0037907,             0.93364,             0.94012,             0.95693,             0.62052,            0.025724,            0.014364,           0.0029757,             0.00505,             0.00505,             0.00505
                  52,            0.026947,            0.011955,           0.0037853,              0.9415,             0.93295,             0.95368,             0.62027,            0.025813,            0.014612,           0.0030196,            0.004951,            0.004951,            0.004951
                  53,            0.027013,            0.012349,           0.0037306,             0.94105,             0.94198,             0.95405,             0.62706,            0.025847,            0.014525,           0.0031266,            0.004852,            0.004852,            0.004852
                  54,            0.026561,            0.012472,           0.0033728,             0.93892,             0.93983,             0.95093,             0.63217,             0.02538,            0.014426,           0.0031176,            0.004753,            0.004753,            0.004753
                  55,            0.026772,            0.012385,            0.003439,              0.9448,             0.93285,             0.95244,             0.63244,            0.025295,            0.014639,           0.0029499,            0.004654,            0.004654,            0.004654
                  56,            0.026566,            0.012106,           0.0034813,             0.94528,             0.94148,             0.95883,             0.62886,              0.0257,            0.014833,           0.0032744,            0.004555,            0.004555,            0.004555
                  57,            0.026057,            0.011991,           0.0034893,             0.93866,             0.94229,              0.9565,             0.63755,            0.025212,            0.014485,           0.0031227,            0.004456,            0.004456,            0.004456
                  58,            0.026367,            0.011857,           0.0034424,             0.94183,             0.93405,             0.95185,             0.62982,            0.025606,            0.014909,           0.0031228,            0.004357,            0.004357,            0.004357
                  59,            0.025753,            0.011838,           0.0036689,             0.93646,             0.93217,             0.95476,              0.6263,            0.025459,             0.01443,           0.0029305,            0.004258,            0.004258,            0.004258
                  60,            0.025448,            0.012151,           0.0034679,             0.94416,             0.92745,             0.95222,             0.62309,            0.025573,            0.014655,            0.003251,            0.004159,            0.004159,            0.004159
                  61,            0.025575,            0.011794,           0.0031526,             0.95675,             0.93296,             0.96161,             0.63961,            0.025239,            0.014335,           0.0030165,             0.00406,             0.00406,             0.00406
                  62,            0.025367,            0.011637,           0.0033525,             0.94048,             0.94437,             0.95978,             0.63781,            0.025169,            0.014367,           0.0029174,            0.003961,            0.003961,            0.003961
                  63,            0.025072,            0.011872,           0.0031651,             0.93475,             0.93951,             0.95797,             0.63947,            0.024986,            0.014148,            0.002729,            0.003862,            0.003862,            0.003862
                  64,            0.025444,             0.01147,           0.0035989,             0.94709,             0.94974,             0.96125,             0.63471,            0.025227,            0.014305,           0.0028018,            0.003763,            0.003763,            0.003763
                  65,            0.025232,            0.011609,           0.0032506,             0.94458,             0.94565,             0.95885,              0.6302,            0.025473,            0.014457,           0.0028836,            0.003664,            0.003664,            0.003664
                  66,            0.024957,            0.011753,           0.0033644,             0.93789,             0.94889,             0.95936,              0.6406,            0.024833,            0.014295,           0.0028044,            0.003565,            0.003565,            0.003565
                  67,            0.024892,            0.011268,           0.0032144,             0.94862,             0.94198,             0.96074,             0.63705,            0.025191,            0.014439,           0.0028115,            0.003466,            0.003466,            0.003466
                  68,            0.025086,             0.01152,           0.0031508,             0.93833,             0.94496,             0.95984,             0.63655,            0.024849,            0.014353,           0.0026844,            0.003367,            0.003367,            0.003367
                  69,            0.024473,            0.011732,           0.0033203,             0.94142,             0.93593,             0.95752,             0.63273,             0.02531,            0.014601,           0.0028081,            0.003268,            0.003268,            0.003268
                  70,            0.024651,            0.011632,           0.0035615,             0.94947,             0.93588,             0.95512,             0.63781,             0.02464,            0.014387,           0.0026273,            0.003169,            0.003169,            0.003169
                  71,            0.024576,            0.011402,           0.0032082,             0.94479,             0.94725,             0.95633,              0.6354,            0.024903,            0.014473,           0.0026557,             0.00307,             0.00307,             0.00307
                  72,            0.024371,            0.011556,           0.0032093,             0.93683,             0.95367,             0.95887,             0.63789,            0.024599,            0.014227,           0.0029076,            0.002971,            0.002971,            0.002971
                  73,             0.02417,            0.011331,            0.003085,             0.94708,             0.93921,              0.9573,             0.63871,             0.02476,            0.014364,           0.0027035,            0.002872,            0.002872,            0.002872
                  74,            0.024067,            0.011657,           0.0031444,             0.94211,             0.93875,             0.95716,             0.64444,            0.024365,            0.014206,           0.0028187,            0.002773,            0.002773,            0.002773
                  75,            0.024079,            0.011425,           0.0031915,             0.94933,              0.9388,             0.96177,             0.63657,            0.024786,            0.014284,            0.002642,            0.002674,            0.002674,            0.002674
                  76,            0.023997,            0.011192,           0.0031373,             0.94799,             0.92931,             0.95935,             0.64354,            0.024523,            0.014439,             0.00282,            0.002575,            0.002575,            0.002575
                  77,            0.023904,            0.011353,           0.0031242,             0.94453,             0.93854,             0.96198,             0.64586,            0.024631,            0.014168,           0.0027666,            0.002476,            0.002476,            0.002476
                  78,            0.023601,            0.011626,           0.0029907,             0.94221,             0.94754,             0.96478,             0.64837,            0.024512,            0.014134,           0.0025299,            0.002377,            0.002377,            0.002377
